Property Name,Property Number,Site Name,Site ID,Borough,Community Board,Drinking Fountains
AMERICAN PLAYGROUND,B001,American Playground,B001,B,301,1
AMERSFORT PARK,B002,Amersfort Park,B002,B,318,2
BENSONHURST PARK,B007,Bensonhurst Park,B007,B,311,5
BENSONHURST PARK,B007,Bensonhurst Park,B007-01,B,311,1
BETSY HEAD PARK,B008,Betsy Head Park,B008,B,316,3
BETSY HEAD PARK,B008,Imagination Playground at Betsy Head,B008-03,B,316,2
BROWER PARK,B012,Brower Park,B012,B,308,1
BROWER PARK,B012,Brower Park,B012-03,B,308,1
MARIA HERNANDEZ PARK,B016,Maria Hernandez Park,B016,B,304,4
MARIA HERNANDEZ PARK,B016,Maria Hernandez Park,B016-01,B,304,1
MARIA HERNANDEZ PARK,B016,Maria Hernandez Park,B016-02,B,304,1
BUSHWICK PLAYGROUND,B017,Bushwick Playground,B017,B,304,5
CANARSIE PARK,B018,Dinapoli Plgd,B018-01,B,318,3
CANARSIE PARK,B018,Canarsie Playground,B018-02,B,318,1
CANARSIE PARK,B018,Canarsie Park Zone 1,B018-ZN01,B,318,6
CANARSIE PARK,B018,Canarsie Park Zone 2,B018-ZN02,B,318,1
CARROLL PARK,B019,Carroll Park,B019,B,306,3
COM JOHN BARRY PARK,B021,Commodore Barry Park,B021,B,302,5
COM JOHN BARRY PARK,B021,Commodore Barry Park,B021-01,B,302,1
MIDDLETON PLAYGROUND,B022,Middleton Playground,B022,B,301,1
LAFAYETTE PLGD,B023,Lafayette Playground,B023,B,303,2
COOPER PARK,B025,Cooper Park,B025,B,301,5
COOPER PARK,B025,Carnegie Plgd,B025-01,B,301,1
CUYLER GORE,B026,Cuyler Gore Park,B026,B,302,1
DYKER BEACH PARK,B028,Bay 8 Playground,B028-01,B,310,1
DYKER BEACH PARK,B028,Dyker Plgd,B028-03,B,310,3
DYKER BEACH PARK,B028,Dyker Beach Park Zone 1,B028-ZN01,B,310,9
DYKER BEACH PARK,B028,Dyker Beach Park Zone 2,B028-ZN02,B,310,7
FORT GREENE PARK,B032,Fort Greene Plgd,B032-01,B,302,2
FORT GREENE PARK,B032,Fort Greene Park,B032-02,B,302,1
FORT GREENE PARK,B032,Fort Greene Park Zone 2,B032-ZN02,B,302,2
FORT GREENE PARK,B032,Fort Greene Park Zone 3,B032-ZN03,B,302,1
JOHN PAUL JONES PARK,B035,John Paul Jones Park,B035,B,310,2
FULTON PARK,B038,Fulton Park,B038,B,303,2
GREENPOINT PLAYGROUND,B043,Greenpoint Playground,B043,B,301,1
DR RONALD MCNAIR PARK,B044,Dr. Ronald McNair Park,B044,B,309,2
IRVING SQUARE PARK,B049,Irving Square Park,B049,B,304,2
VAN VOORHEES PARK,B050,Van Voorhees Park,B050,B,306,6
WM E KELLY MEMORIAL PARK,B051,Kelly Park,B051,B,315,6
LEIF ERICSON PARK & SQUARE,B052,Leif Ericson Park,B052,B,310,2
LEIF ERICSON PARK,B052,Millennium Playground,B052-01,B,310,1
LEIF ERICSON PARK,B052,Leif Ericson Park,B052-03,B,310,4
LINCOLN TERRACE PARK / ARTHUR S. SOMERS,B054,Lincoln Terrace Park / Arthur S. Somers,B054-01,B,308,4
LINCOLN TERRACE PARK / ARTHUR S. SOMERS,B054,Lincoln Terr Pk/Arthur S Somers Zone 1,B054-ZN01,B,308,5
LINCOLN TERRACE PARK / ARTHUR S. SOMERS,B054,Lincoln Terr Pk/Arthur S Somers Zone 2,B054-ZN02,B,308,1
LINCOLN TERRACE PARK / ARTHUR S. SOMERS,B054,Lincoln Terr Pk/Arthur S Somers Zone 3,B054-ZN03,B,308,4
STERNBERG PARK,B055,Sternberg Park,B055,B,301,7
DR MARTIN LUTHER KING JR PARK,B056,Martin Luther King Jr. Playground,B056,B,305,2
MARINE PARK,B057,PS 278 Plgd,B057-03,B,315-318,1
MARINE PARK,B057,Lenape Playground,B057-04,B,315-318,1
MARINE PARK,B057,Dr John's Plgd,B057-05,B,315-318,3
MARINE PARK,B057,Seba Playground,B057-06,B,315-318,2
MARINE PARK,B057,Marine Park Zone 4,B057-ZN04,B,315-318,6
MARINE PARK,B057,Marine Park Zone 5,B057-ZN05,B,315-318,1
MARINE PARK,B057,Marine Park Zone 6,B057-ZN06,B,315-318,1
MARINE PARK,B057,Marine Park Zone 7- Gerritsen Ballfields,B057-ZN07,B,315-318,2
MCCARREN PARK,B058,Vincent V Abate Plgd,B058-01,B,301,3
MCCARREN PARK,B058,McCarren Park Zone 1,B058-ZN01,B,301,1
MCCARREN PARK,B058,McCarren Park Zone 2,B058-ZN02,B,301,3
MCCARREN PARK,B058,McCarren Park Zone 3,B058-ZN03,B,301,5
MCCARREN PARK,B058,McCarren Park Zone 4,B058-ZN04,B,301,2
MCCARREN PARK,B058,McCarren Park Zone 6,B058-ZN06,B,301,1
MCKINLEY PARK,B060,McKinley Park,B060,B,310,3
MCKINLEY PARK,B060,McKinley Park,B060-01,B,310,2
MCLAUGHLIN PARK,B061,McLaughlin Park,B061,B,302,7
MILESTONE,B063,Milestone Park,B063,B,311,1
OWLS HEAD PARK,B066,Owl's Head Park,B066,B,310,5
OWLS HEAD PARK,B066,Owls Head Park,B066-01,B,310,3
OWLS HEAD PARK,B066,Owls Head Park,B066-02,B,310,1
PARADE GROUNDS,B068,Detective Dillon Stewart Plgd,B068-01,B,314,2
PROSPECT PARK,B073,Third St Plgd,B073-02,B,306-307-314-309-308,1
PROSPECT PARK,B073,Vanderbilt Playground,B073-07,B,306-307-314-309-308,4
PROSPECT PARK,B073,Imagination Plgd,B073-09,B,306-307-314-309-308,1
PROSPECT PARK,B073,Lincoln Rd Plgd,B073-10,B,306-307-314-309-308,2
PROSPECT PARK,B073,Harmony Playground,B073-20,B,306-307-314-309-308,2
PROSPECT PARK,B073,Main Entrance,B073-ZN01,B,306-307-314-309-308,2
PROSPECT PARK,B073,Litchfield Villa,B073-ZN03,B,306-307-314-309-308,1
PROSPECT PARK,B073,The Bandshell,B073-ZN04,B,306-307-314-309-308,1
PROSPECT PARK,B073,Prospect Park Southwest Lower,B073-ZN06,B,306-307-314-309-308,2
PROSPECT PARK,B073,South West Entrance,B073-ZN07,B,306-307-314-309-308,1
PROSPECT PARK,B073,The Zoo- Lefferts Homestead- Carousel,B073-ZN11,B,306-307-314-309-308,1
PROSPECT PARK,B073,Vale Of Cashmere- Nellie's Lawn,B073-ZN12,B,306-307-314-309-308,2
PROSPECT PARK,B073,Upper Long Meadow,B073-ZN13,B,306-307-314-309-308,4
PROSPECT PARK,B073,Middle Long Meadow,B073-ZN14,B,306-307-314-309-308,3
PROSPECT PARK,B073,Lower Long Meadow,B073-ZN15,B,306-307-314-309-308,10
PROSPECT PARK,B073,The Nethermead,B073-ZN19,B,306-307-314-309-308,3
PROSPECT PARK,B073,Peninsula,B073-ZN21,B,306-307-314-309-308,1
PROSPECT PARK,B073,Lullwater & Boathouse,B073-ZN23,B,306-307-314-309-308,3
WINGATE PARK,B254,Wingate Park,B254,B,309,6
PROSPECT PARK,B073,Lakeside Center & Concert Grove,B073-ZN24,B,306-307-314-309-308,4
PROSPECT PARK,B073,Prospect Lake Near Duck Island,B073-ZN25,B,306-307-314-309-308,1
PROSPECT PARK,B073,Prospect Lake Near West Island,B073-ZN26,B,306-307-314-309-308,1
PROSPECT PARK,B073,West Parade Grounds,B073-ZN27,B,306-307-314-309-308,7
PROSPECT PARK,B073,East Parade Grounds,B073-ZN28,B,306-307-314-309-308,14
COFFEY PARK,B077,Coffey Park,B077,B,306,2
COFFEY PARK,B077,Coffey Park,B077-01,B,306,1
GRACE PLAYGROUND,B078,Grace Playground,B078,B,305,3
SARATOGA SQUARE PARK,B079,Saratoga Park,B079,B,303,4
ASSER LEVY PARK & AQUARIUM,B080,Asser Levy Park,B080,B,313,3
Shore Park and Parkway,B082,Vinland Plgd,B082-01B,B,310,1
Shore Park and Parkway,B082,79 St Plgd,B082-02,B,310,1
Shore Park and Parkway,B082,Shore Road Park Zone 2,B082-ZN02,B,310,4
Shore Park and Parkway,B082,Shore Road Park Zone 3,B082-ZN03,B,310,3
Shore Park and Parkway,B082,Shore Road Park Zone 4,B082-ZN04,B,310,1
Shore Park and Parkway,B082,Shore Road Park Zone 5,B082-ZN05,B,310,4
SUNSET PARK,B087,Sunset Park,B087,B,307,3
SUNSET PARK,B087,Sunset Park,B087-01,B,307,2
HERBERT VON KING PARK,B088,Herbert Von King Park,B088,B,303,4
HERBERT VON KING PARK,B088,Herbert Von King Park,B088-02,B,303,1
HERBERT VON KING PARK,B088,Herbert Von King Park,B088-03,B,303,1
ENNIS PARK,B095,Ennis Playground,B095,B,306,1
SLEDGE PLGD,B097,Sledge Playground,B097,B,318,1
MARTIN LUTHER PLGD,B098,Martin Luther Playground,B098,B,307,2
LT. PETROSINO PLAYGROUND.,B099,Lt. Joseph Petrosino Park,B099,B,311,2
Seth Low Playground/ Bealin Square,B100,Seth Low Playground/ Bealin Square,B100,B,311,1
CRISPUS ATTUCKS PLAYGROUND,B102,Crispus Attucks Playground,B102,B,302,2
CYPRESS HILLS PARK,B103,Cypress Hills Playground,B103,B,305,3
TAAFFE PLGD,B105,Taaffe Playground,B105,B,303,3
SCARANGELLA PARK,B106A,Scarangella Park,B106A,B,313,4
LAFAYETTE PLAYGROUND,B106B,Lafayette Playground,B106B,B,313,1
LIONS' PRIDE PLGD,B107,Lion's Pride Playground,B107,B,305,2
BILL BROWN MEMORIAL PLGD,B109,Bill Brown Playground,B109,B,315,5
MARION-HOPKINSON PLAYGROUND,B110,Marion Hopkinson Playground,B110,B,316,3
J J BYRNE MEM PARK,B111,J.J. Byrne Playground,B111,B,306,4
TERRAPIN PLGD (JHS 51),B111A,Washington Park,B111A,B,306,5
S PARKES CADMAN PLAZA,B113A,Cadman Plaza Park,B113A,B,302,3
COLUMBUS PARK,B113C,Columbus Park,B113C,B,302,1
WALT WHITMAN PARK,B113E,Walt Whitman Park,B113E,B,302,2
MONSIGNOR MCGOLRICK PARK,B114,Msgr. McGolrick Park,B114,B,301,1
MONSIGNOR MCGOLRICK PARK,B114,Monsignor Mcgolrick Playground,B114-01,B,301,2
DODGER PLGD,B121,Dodger Playground,B121,B,309,1
WILLIAM SHERIDAN PLAYGROUND,B124,William Sheridan Playground,B124,B,301,2
DREIER OFFERMAN PARK,B125,Calvert Vaux,B125-01,B,313,4
DREIER-OFFERMAN PARK,B125,Calvert Vaux Park Zone 2,B125-ZN02,B,313,3
RED HOOK PARK,B126,Bush Clinton Park,B126-01,B,306,2
RED HOOK RECREATION AREA,B126,Red Hook Park Zone 1,B126-ZN01,B,306,2
RED HOOK RECREATION AREA,B126,Red Hook Park Zone 2,B126-ZN02,B,306,2
RED HOOK RECREATION AREA,B126,Red Hook Park Zone 3,B126-ZN03,B,306,5
RED HOOK RECREATION AREA,B126,Red Hook Park Zone 5,B126-ZN05,B,306,1
RED HOOK RECREATION AREA,B126,Red Hook Park Zone 6,B126-ZN06,B,306,1
MARTINEZ PLAYGROUND,B127,Martinez Playground,B127,B,301,1
COL DAVID MARCUS MEM PLGD,B128,Colonel David Marcus Playground,B128,B,312,3
LEON S KAISER PARK,B129,Leon S Kaiser Playground,B129-01,B,313,1
LEON S KAISER PARK,B129,Kaiser Park Zone 1,B129-ZN01,B,313,2
LEON S KAISER PARK,B129,Kaiser Park Zone 2,B129-ZN02,B,313,1
GREENWOOD PLAYGROUND,B130,Greenwood Playground,B130,B,307,4
RUDD PLAYGROUND,B131,Rudd Playground,B131,B,304,1
RAMIREZ PLAYGROUND,B132,Gilbert Ramirez Park,B132,B,301,1
NEWTOWN BARGE TERMINAL PLGD,B135,Newtown Barge Playground,B135,B,301,2
SIXTEEN SYCAMORES PLAYGROUND,B137,Sixteen Sycamores Playground,B137,B,302,2
HECKSCHER PLAYGROUND,B139,Heckscher Playground,B139,B,304,7
CITY LINE PARK,B141,City Line Park,B141,B,305,3
OCEAN HILL PLGD,B144,Ocean Hill Playground,B144,B,316,2
THOMAS GREENE PLAYGROUND,B145,Thomas Greene Playground,B145,B,306,2
DUSTBOWL,B146,Quaker Parrot Park at the Dust Bowl,B146,B,310,4
REV T J CRAWFORD ATHLETIC FLD,B147,Monsignor Crawford Field,B147,B,318,3
ROLF HENRY PLGD,B148,Rolf Henry Playground,B148,B,309,1
LINWOOD PLGD,B149B,Linwood Playground,B149B,B,305,1
PAUL W KOLBERT PARK,B150,Kolbert Playground,B150,B,314,2
JESSE AND CHARLES DOME PLGD,B151,Dome Playground,B151,B,312,4
RAPPAPORT PLGD,B152,Rappaport Playground,B152,B,312,2
PACIFIC PLGD,B153,South Pacific Playground,B153,B,316,4
BERRY PLAYGROUND,B154,Berry Playground,B154,B,301,1
POWELL PLAYGROUND,B156,Powell Playground,B156,B,316,2
KELLY PLAYGROUND,B157,Kelly Park,B157,B,315,1
GARIBALDI PLAYGROUND,B158,Garibaldi Playground,B158,B,311,1
MT PROSPECT PARK,B159,Mount Prospect Park,B159,B,309-308,1
MT PROSPECT PARK PLAYGROUND,B159,Mt Prospect Park,B159-01,B,309-308,1
UNDERHILL PLGD,B161,Underhill Playground,B161,B,308,2
BRIZZI PLGD,B162,Brizzi Playground,B162,B,312,2
SPERANDEO BROTHERS PLGD,B163,Sperandeo Brothers Playground,B163,B,305,4
BATH BEACH PLAYGROUND,B164,Bath Beach Park,B164,B,311,4
HOMECREST PLGD,B166B,Homecrest Playground,B166B,B,315,1
CONEY ISLAND BOAT BASIN,B166C,Six Diamonds Zone 2,B166C-ZN02,B,313,6
JOSEPH T MCGUIRE PARK,B166D,McGuire Fields,B166D,B,318,10
JOSEPH T MCGUIRE PARK,B166D,McGuire Fields Tot Lot,B166D-01,B,318,1
LA GUARDIA PLAYGROUND WEST,B167,La Guardia Playground,B167,B,301,1
CONTINENTAL ARMY PLAZA,B168,Continental Army Plaza,B168,B,301,1
BRIGHTON PLAYGROUND,B169A,Brighton Playground,B169A,B,313,1
POSEIDON PLGD,B169B,Poseidon Playground,B169B,B,313,1
CONEY ISLAND BEACH & BOARDWALK,B169,Coney Island Beach Zone 1a,B169-ZN01A,B,313-315,2
CONEY ISLAND BEACH & BOARDWALK,B169,Coney Island Beach Zone 1b,B169-ZN01B,B,313-315,5
CONEY ISLAND BEACH & BOARDWALK,B169,Coney Island Beach Zone 2a,B169-ZN02A,B,313-315,2
CONEY ISLAND BEACH & BOARDWALK,B169,Coney Island Beach Zone 2b,B169-ZN02B,B,313-315,6
CONEY ISLAND BEACH & BOARDWALK,B169,Coney Island Beach Zone 3a,B169-ZN03A,B,313-315,2
CONEY ISLAND BEACH & BOARDWALK,B169,Coney Island Beach Zone 3b,B169-ZN03B,B,313-315,4
CONEY ISLAND BEACH & BOARDWALK,B169,Coney Island Beach Zone 4a,B169-ZN04A,B,313-315,4
CONEY ISLAND BEACH & BOARDWALK,B169,Coney Island Beach Zone 4b,B169-ZN04B,B,313-315,4
CONEY ISLAND BEACH & BOARDWALK,B169,Coney Island Beach Zone 5a,B169-ZN05A,B,313-315,4
CONEY ISLAND BEACH & BOARDWALK,B169,Coney Island Beach Zone 5b,B169-ZN05B,B,313-315,6
CONEY ISLAND BEACH & BOARDWALK,B169,Coney Island Beach Zone 6a,B169-ZN06A,B,313-315,4
CONEY ISLAND BEACH & BOARDWALK,B169,Coney Island Beach Zone 6b,B169-ZN06B,B,313-315,2
CONEY ISLAND BEACH & BOARDWALK,B169,Coney Island Beach Zone 7a,B169-ZN07A,B,313-315,4
CONEY ISLAND BEACH & BOARDWALK,B169,Coney Island Beach Zone 7b,B169-ZN07B,B,313-315,2
CONEY ISLAND BEACH & BOARDWALK,B169,Coney Island Beach Zone 7c,B169-ZN07C,B,313-315,4
FRASER SQUARE,B173,Fraser Square,B173,B,318,1
RUSSELL PEDERSON PLAYGROUND,B192,Russell Pedersen Playground,B192,B,310,2
FT HAMILTON ATHLETIC FIELD,B192A,Fort Hamilton Athletic Field,B192A,B,310,3
HAMILTON-METZ FIELD,B193,Hamilton Metz Field,B193,B,309,4
MELLETT PLAYGROUND,B197,Mellett Playground,B197,B,315,2
ELIZABETH STROUD PLAYGROUND,B200,Elizabeth Stroud Playground,B200,B,303,1
SUNNERS PLAYGROUND,B206,Sunners Playground,B206,B,318,1
COMM EUGENE S SARSFIELD PLGD,B207,Sarsfield Playground,B207,B,318,1
PFC THOMAS NORTON MEM PLGD,B208,Pfc Norton Playground,B208,B,315,1
GALAPO PLAYGROUND,B209,Galapo Playground,B209,B,315,2
JOHN ALLEN PAYNE PARK,B210A,John Allen Payne Park,B210A,B,307,3
D'EMIC  PLAYGROUND,B210B,D'Emic Playground,B210B,B,307,2
HAROLD ICKES PLGD,B210H,Harold Ickes Playground,B210H,B,306,1
THIRD AVE PLGD,B210I,Gonzalo Plasencia Playground,B210I,B,307,3
PS 1 PLAYGROUND,B210J,Pena Herrera Park,B210J,B,307,2
JOHN J CARTY PARK,B210W,John J Carty Park,B210W,B,310,4
CAMPUS ROAD TOT LOT,B212,Hot Spot Tot Lot,B212,B,314,1
LINDEN PARK,B214,Linden Park,B214-01,B,305,4
DECATUR PLGD,B215,Decatur Playground,B215,B,303,1
RAYMOND BUSH PLGD,B216,Raymond Bush Playground,B216,B,303,2
MARCY PLAYGROUND,B217,Marcy Playground,B217,B,303,4
PAERDEGAT PARK,B218,Paerdegat Park,B218,B,317,4
CALLAHAN-KELLY PLGD,B219,Callahan-Kelly Playground,B219,B,316,4
WASHINGTON HALL PLGD,B220,Washington Hall Park,B220,B,302,2
STEUBEN PLGD,B221,Steuben Playground,B221,B,302,1
PIERREPONT PLGD,B222,Pierrepont Playground,B222,B,302,2
DIMATTINA PLGD,B223A,Dimattina Playground,B223A,B,306,3
DIMATTINA PLGD,B223B,Dimattina Playground,B223B,B,306,2
ADAM YAUCH PARK,B223DA,Adam Yauch Park,B223DA,B,302,2
BROOKLYN HEIGHTS PROMENADE,B223DK,Brooklyn Heights Promenade,B223DK,B,302,3
SQUIBB PARK,B223F,Squibb Park,B223F,B,302,2
HILLSIDE PARK,B223G,Hillside Park,B223G,B,302,2
CHAPIN PLGD,B223H,Harry Chapin Playground,B223H,B,302,1
BRIDGE PARK 2,B223JB,Bridge Park,B223JB,B,302,2
BRIDGE PARK 3,B223JC,Bridge Park 3,B223JC,B,302,2
PENN TRIANGLE,B223NC,Penn Triangle,B223NC,B,301,1
RODNEY PARK CENTER,B223PA,Rodney Park Center,B223PA,B,301,1
RODNEY PARK NORTH,B223PB,Rodney Park North,B223PB,B,301,1
RODNEY PLAYGROUND SOUTH,B223PC,Rodney Playground South,B223PC,B,301,1
RODNEY PLAYGROUND SITTING AREA,B223PD,Rodney Playground Center,B223PD,B,301,1
RODNEY PLAYGROUND NORTH,B223PE,Rodney Playground North,B223PE,B,301,1
CAMPIZ PLAYGROUND,B223R,Jaime Campiz Playground,B223R,B,301,2
POLICE OFFICER REINALDO SALGADO PLGD,B224,P.O. Reinaldo Salgado Playground,B224,B,303,4
ST ANDREW'S PLAYGROUND,B225,St. Andrew's Playground,B225,B,303,4
DR RICHARD GREEN PLGD,B228,Dr. Green Playground,B228,B,316,3
GOWANUS PLAYGROUND,B230,Nicholas Naquan Heyward Jr. Park,B230,B,306,3
DEAN PLGD,B232,Dean Playground,B232,B,308,4
TILDEN PLAYGROUND,B234,Tilden Playground,B234,B,317,2
HERMAN DOLGON PLAYGROUND,B235,Herman Dolgon Playground,B235,B,315,2
GLENWOOD PLAYGROUND,B236,Glenwood Playground,B236,B,318,4
HANCOCK PLGD,B237,John Hancock Playground,B237,B,303,2
ZEBRA PLAYGROUND,B239,Sheepshead Playground,B239,B,315,2
J DRISCOLL TUCKER PLACE,B240,Tucker Place,B240,B,315,1
GOLCONDA PLAYGROUND,B243,Golconda Playground,B243,B,302,2
MCDONALD PLAYGROUND,B244,McDonald Playground,B244,B,315,3
ST JOHNS RECREATION CENTER,B245,St. John's Recreation Center,B245,B,308,11
ST JOHNS RECREATION CENTER,B245,St Johns Recreation Center,B245-02,B,308,1
JEROME PLGD,B246,Jerome Playground,B246,B,305,3
BREUKELEN PARK,B247,Breukelen Ballfields,B247,B,318,5
BREUKELEN PARK,B247,Breukelen Plgd,B247-01,B,318,3
FOX PLAYGROUND,B248,Fox Playground,B248,B,318,3
VAN DYKE PLGD,B249,Van Dyke Playground,B249,B,316,3
NOSTRAND PLGD,B250,Nostrand Playground,B250,B,317,4
MANHATTAN BEACH PARK,B251,Pat Parlato Plgd,B251-04,B,315,1
MANHATTAN BEACH PARK,B251,Manhattan Beach Park,B251-08,B,315,2
MANHATTAN BEACH PARK,B251,Manhattan Beach Zone 1,B251-ZN01,B,315,16
MANHATTAN BEACH PARK,B251,Manhattan Beach Zone 2,B251-ZN02,B,315,9
MANHATTAN BEACH PARK,B251,Manhattan Beach Zone 3,B251-ZN03,B,315,1
WEST PLGD,B252,West Playground,B252,B,313,4
ALBERT J. PARHAM PLAYGROUND,B253,Albert J. Parham Playground,B253,B,302,2
DETECTIVE JOSEPH MAYROSE PARK,B255F,Detective Joseph Mayrose Park,B255F,B,307,1
PARK,B255G,Butterfly Gardens,B255G,B,307,1
CUITE PARK,B255H,Thomas J. Cuite Park,B255H,B,307,1
SEELEY PARK,B255J,Seeley Park,B255J,B,307,1
PARK,B255M,Park,B255M,B,307,1
FROST PLGD,B257,Frost Playground,B257,B,301,1
